timestamp,unix_time,instrument,price,direction,tick_size,session_id
2026-09-07 14:30:44,1788791444,R_100,546.6,1,30.83000000000004,BACKFILL_AUTO
2026-09-07 14:30:46,1788791446,R_100,546.47,-1,0.12999999999999545,BACKFILL_AUTO
2026-09-07 14:30:48,1788791448,R_100,546.37,-1,0.10000000000002274,BACKFILL_AUTO
2026-09-07 14:30:50,1788791450,R_100,546.37,0,0.0,BACKFILL_AUTO
2026-09-07 14:30:52,1788791452,R_100,546.4,1,0.029999999999972715,BACKFILL_AUTO
2026-09-07 14:30:54,1788791454,R_100,546.34,-1,0.05999999999994543,BACKFILL_AUTO
2026-09-07 14:30:56,1788791456,R_100,546.19,-1,0.14999999999997726,BACKFILL_AUTO
2026-09-07 14:30:58,1788791458,R_100,546.14,-1,0.05000000000006821,BACKFILL_AUTO
2026-09-07 14:31:00,1788791460,R_100,545.97,-1,0.16999999999995907,BACKFILL_AUTO
2026-09-07 14:31:02,1788791462,R_100,546.15,1,0.17999999999994998,BACKFILL_AUTO
2026-09-07 14:31:04,1788791464,R_100,546.01,1,30.590000000000032,BACKFILL_AUTO
2026-09-07 14:31:06,1788791466,R_100,545.94,-1,0.06999999999993634,BACKFILL_AUTO
2026-09-07 14:31:08,1788791468,R_100,545.9,-1,0.04000000000007731,BACKFILL_AUTO
2026-09-07 14:31:10,1788791470,R_100,545.99,1,0.09000000000003183,BACKFILL_AUTO
2026-09-07 14:31:12,1788791472,R_100,546.26,1,0.2699999999999818,BACKFILL_AUTO
2026-09-07 14:31:14,1788791474,R_100,546.59,1,0.3300000000000409,BACKFILL_AUTO
2026-09-07 14:31:16,1788791476,R_100,546.66,1,0.06999999999993634,BACKFILL_AUTO
2026-09-07 14:31:18,1788791478,R_100,546.78,1,0.12000000000000455,BACKFILL_AUTO
2026-09-07 14:31:20,1788791480,R_100,547.02,1,0.2400000000000091,BACKFILL_AUTO
2026-09-07 14:31:22,1788791482,R_100,546.96,1,31.08000000000004,BACKFILL_AUTO
2026-09-07 14:31:24,1788791484,R_100,547.05,1,0.08999999999991815,BACKFILL_AUTO
2026-09-07 14:31:26,1788791486,R_100,547.08,1,0.030000000000086402,BACKFILL_AUTO
2026-09-07 14:31:28,1788791488,R_100,546.72,-1,0.36000000000001364,BACKFILL_AUTO
2026-09-07 14:31:30,1788791490,R_100,546.95,1,0.2300000000000182,BACKFILL_AUTO
2026-09-07 14:31:32,1788791492,R_100,547.01,1,0.05999999999994543,BACKFILL_AUTO
2026-09-07 14:31:34,1788791494,R_100,547.06,1,0.049999999999954525,BACKFILL_AUTO
2026-09-07 14:31:36,1788791496,R_100,546.98,-1,0.07999999999992724,BACKFILL_AUTO
2026-09-07 14:31:38,1788791498,R_100,547.15,1,0.16999999999995907,BACKFILL_AUTO
2026-09-07 14:31:40,1788791500,R_100,547.37,1,0.22000000000002728,BACKFILL_AUTO
2026-09-07 14:31:42,1788791502,R_100,547.5,1,0.12999999999999545,BACKFILL_AUTO
2026-09-07 14:31:44,1788791504,R_100,547.47,1,32.54000000000008,BACKFILL_AUTO
2026-09-07 14:31:46,1788791506,R_100,547.34,-1,0.12999999999999545,BACKFILL_AUTO
2026-09-07 14:31:48,1788791508,R_100,547.38,1,0.03999999999996362,BACKFILL_AUTO
2026-09-07 14:31:50,1788791510,R_100,547.32,-1,0.05999999999994543,BACKFILL_AUTO
2026-09-07 14:31:52,1788791512,R_100,547.32,0,0.0,BACKFILL_AUTO
2026-09-07 14:31:54,1788791514,R_100,547.42,1,0.09999999999990905,BACKFILL_AUTO
2026-09-07 14:31:56,1788791516,R_100,547.6,1,0.18000000000006366,BACKFILL_AUTO
2026-09-07 14:31:58,1788791518,R_100,547.46,-1,0.13999999999998636,BACKFILL_AUTO
2026-09-07 14:32:00,1788791520,R_100,547.6,1,0.13999999999998636,BACKFILL_AUTO
2026-09-07 14:32:02,1788791522,R_100,547.52,-1,0.08000000000004093,BACKFILL_AUTO
2026-09-07 14:32:04,1788791524,R_100,547.4,1,32.15999999999997,BACKFILL_AUTO
2026-09-07 14:32:06,1788791526,R_100,547.43,1,0.029999999999972715,BACKFILL_AUTO
2026-09-07 14:32:08,1788791528,R_100,547.31,-1,0.12000000000000455,BACKFILL_AUTO
2026-09-07 14:32:10,1788791530,R_100,547.27,-1,0.03999999999996362,BACKFILL_AUTO
2026-09-07 14:32:12,1788791532,R_100,547.22,-1,0.049999999999954525,BACKFILL_AUTO
2026-09-07 14:32:14,1788791534,R_100,547.15,-1,0.07000000000005002,BACKFILL_AUTO
2026-09-07 14:32:16,1788791536,R_100,547.31,1,0.15999999999996817,BACKFILL_AUTO
2026-09-07 14:32:18,1788791538,R_100,547.5,1,0.19000000000005457,BACKFILL_AUTO
2026-09-07 14:32:20,1788791540,R_100,547.44,-1,0.05999999999994543,BACKFILL_AUTO
2026-09-07 14:32:22,1788791542,R_100,547.4,1,32.09000000000003,BACKFILL_AUTO
2026-09-07 14:32:24,1788791544,R_100,547.47,1,0.07000000000005002,BACKFILL_AUTO
2026-09-07 14:32:26,1788791546,R_100,547.53,1,0.05999999999994543,BACKFILL_AUTO
2026-09-07 14:32:28,1788791548,R_100,547.46,-1,0.06999999999993634,BACKFILL_AUTO
2026-09-07 14:32:30,1788791550,R_100,547.3,-1,0.16000000000008185,BACKFILL_AUTO
2026-09-07 14:32:32,1788791552,R_100,547.42,1,0.12000000000000455,BACKFILL_AUTO
2026-09-07 14:32:34,1788791554,R_100,547.4,-1,0.01999999999998181,BACKFILL_AUTO
2026-09-07 14:32:36,1788791556,R_100,547.6,1,0.20000000000004547,BACKFILL_AUTO
2026-09-07 14:32:38,1788791558,R_100,547.7,1,0.10000000000002274,BACKFILL_AUTO
2026-09-07 14:32:40,1788791560,R_100,547.63,-1,0.07000000000005002,BACKFILL_AUTO
2026-09-07 14:32:42,1788791562,R_100,547.72,1,32.14999999999998,BACKFILL_AUTO
2026-09-07 14:32:44,1788791564,R_100,547.57,-1,0.14999999999997726,BACKFILL_AUTO
2026-09-07 14:32:46,1788791566,R_100,547.22,-1,0.35000000000002274,BACKFILL_AUTO
2026-09-07 14:32:48,1788791568,R_100,547.02,-1,0.20000000000004547,BACKFILL_AUTO
